label,events_per_second_ratio,idle_ratio,brainrot_ratio,productive_ratio,keyboard_to_scroll_ratio,event_rate_variance,scroll_direction_changes
distracted,8.058333333333334,0.002068252326783868,0.0,0.8645294725956567,0.08072487631291442,3420.809523809523,146
distracted,10.15,0.0016420361247947454,0.0,0.8924466338259441,0.0,3266.7499999999995,189
distracted,9.925,0.0016792611251049538,0.45759865659109994,0.5104953820319059,0.0,2999.9999999999995,126
distracted,11.725,0.0007107320540156361,0.906183368869936,0.09381663113006397,0.03151862457829985,1921.25,186
distracted,16.258333333333333,0.0,0.9748846745258841,0.025115325474115838,0.04580152660386924,35180.694444444445,200
distracted,42.56666666666667,0.00039154267815191856,0.5601018010963195,0.0,0.004693261808926188,180965.02777777778,758
distracted,44.141666666666666,0.00037757221068529355,0.30337927128563336,0.007362658108363225,0.006628003299457939,137303.52777777775,616
distracted,18.35,0.0,0.011807447774750226,0.017711171662125342,1.0526315484487543,23330.500000000007,16
distracted,10.575,0.0007880220646178094,0.0,0.0,1.6354166450485028,3185.0,18
distracted,17.633333333333333,0.0004725897920604915,0.0,0.0,0.3522012555180571,55366.61111111111,78
distracted,26.633333333333333,0.00031289111389236547,0.0,0.0,0.019245573470739914,198406.9523809524,308
distracted,13.908333333333333,0.0011983223487118035,0.0,0.0,0.005994005984011992,113238.02777777777,232
distracted,1.675,0.004975124378109453,0.0,0.0,4975124.378109452,0.5,0
distracted,7.691666666666666,0.0032502708559046588,0.0,0.0,0.21052630556232738,31057.77777777778,0
distracted,35.15,0.0002370791844476055,0.0,0.0,0.02422723466817838,66902.0,306
distracted,48.8,0.0,0.015710382513661202,0.0,0.018699910904048673,166510.25,558
distracted,25.725,0.0,0.03466148364107548,0.0,0.02836879425723052,136856.0,293
distracted,23.783333333333335,0.0,0.15487035739313246,0.0,0.027465667817244674,104389.86111111112,177
distracted,27.641666666666666,0.0,0.2776605366294845,0.0,0.044117646893282535,105284.27777777778,215
distracted,18.875,0.0004415011037527594,0.4750551876379691,0.0,0.04755784047851091,46459.25,195
distracted,14.866666666666667,0.0005605381165919282,0.32623318385650224,0.0257847533632287,0.023002421257825277,30291.694444444445,216
distracted,9.916666666666666,0.0016806722689075631,0.073109243697479,0.1403361344537815,0.0927835049649272,4088.6944444444443,155
distracted,8.85,0.002824858757062147,0.08192090395480225,0.11393596986817325,0.09339407722281433,7821.0,127
distracted,16.641666666666666,0.000500751126690035,0.47771657486229346,0.0,0.08754863779215052,83785.6111111111,184
